Period Name,Position,Total Duration,Total Distance,Meterage Per Minute,HSD,VHSD,VHSD Relative,Sprint Distance,Velocity B7+ Total # Efforts (Gen 2) (Set 2),Maximum Velocity,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Deceleration B3 Distance (Gen 2),Max Acceleration,Max Deceleration,Acceleration Density,Total Acceleration Load,Running Imbalance,Total IMA,RHIE Total Bouts,Meta Energy (KJ/kg),HSD Per Minute,VHSD Per Minute,Sprint Distance Per Minute,RHIE Bouts Per Minute,Meta Energy (kj/kg) Per Minute,HI Accels Per Minute,VHI Accels Per Minute
'L v R Play - GB Points (Team 2),Edges,0 days 00:09:47,708.82959,72.39111,17.845,0,0,0,0,6.30916,6,4.5,0,0.6,3.63558,-4.63213,0.41468,243.622375,4.29621,2.5,4,3.635255,0.030375,0,0,0.00681,0.00148,0.01021,0
'L v R Play - GB Points (Team 2),Middles,0 days 00:09:47,693.584015,70.83411,0,0,0,0,0,4.95699,8,4,0,0.0775,3.620815,-3.6605575,0.436145,256.2357,-2.6545375,3.25,3.25,3.45654,0,0,0,0.0055325,0.001405,0.0136175,0
'L v R Play - GB Points (Team 2),Outside Backs,0 days 00:09:47,696.3574225,71.1173525,38.8825,3.28,1.2375,0,0,6.8857725,3.5,3.25,0.25,0,3.5910825,-3.8751125,0.3817475,224.2764575,1.4086125,3,3.25,3.5117675,0.066185,0.0055825,0,0.00553,0.001425,0.005955,0.000425
'L v R Play - GB Points (Team 2),Service,0 days 00:09:47,710.0277425,72.5134725,39.2125,2.095,0,0,0,6.1806425,7.75,5,0.25,0.675,3.593135,-4.6442575,0.43548,255.8457025,0.0824575,4,4,3.69123,0.0667425,0.003565,0,0.0068075,0.0015025,0.01319,0.000425
12v13 - 1,Edges,0 days 00:09:01,811.2091075,89.8929675,15.2075,1.6825,2.16,0,0,6.4748275,3.75,4.5,0,0.27,3.38574,-3.8362925,0.505295,273.5932475,3.9694075,6.75,2.25,4.0384675,0.028085,0.0031075,0,0.004155,0.001785,0.006925,0
12v13 - 1,Middles,0 days 00:07:45.600000,721.152904,91.345526,3.464,0,0,0,0,5.620504,5,4.4,0,0.038,3.227644,-3.552616,0.530698,253.998142,-0.879408,6.2,2.6,3.628268,0.006398,0,0,0.0048,0.001816,0.009236,0
12v13 - 1,Outside Backs,0 days 00:09:01,751.81369,83.31115,36.6275,5.19875,7.03625,0,0,7.06445125,5.125,4,0.5,0.81375,3.8931375,-4.34113875,0.47114625,255.102185,3.107675,5.25,3.5,3.76694875,0.0676475,0.00960125,0,0.0064625,0.0016625,0.00946625,0.000925
12v13 - 1,Service,0 days 00:08:44.750000,847.6025688,96.812145,19.95625,0.2225,2.51375,0,0,6.3998225,5.125,5.125,0.5,0.7675,3.7243225,-4.2600125,0.56632,295.600805,1.3695025,5.625,3.5,4.28429375,0.03786375,0.00041125,0,0.0068275,0.00195375,0.01019125,0.00107
12v13 - 2,Edges,0 days 00:06:34.666666666,648.4514167,94.35513667,8.843333333,0,1.446666667,0,0,6.14865,2.666666667,3.666666667,0.666666667,0.093333333,3.785033333,-3.64536,0.467943333,203.2846733,4.865446667,6.333333333,2,3.193043333,0.027446667,0,0,0.00357,0.001826667,0.0093,0.001186667
12v13 - 2,Middles,0 days 00:08:08.857142857,770.5039971,94.42882143,6.721428571,0.158571429,1.388571429,0,0,5.998535714,3.428571429,3.857142857,0,0.18,3.261998571,-3.617014286,0.529572857,261.0424986,-1.623867143,5.285714286,3,3.801597143,0.01199,0.000282857,0,0.00594,0.001852857,0.007458571,0
